FDR,Accession
Medium,A0A0H3NG97
Medium,A0A0H3NG99
Medium,A0A0H3NEN9
Medium,A0A0H3NQW0
Medium,A0A0H3NI72
Medium,A0A0H3NR12
Medium,A0A0H3N7M5
Medium,A0A0H3NN29
Medium,A0A0H3NM91
Medium,A0A0H3NKW4
Medium,A0A0H3NNT9
Medium,A0A0H3NH21
Medium,A0A0H3NHL7
Medium,A0A0H3NF62
Medium,A0A0H3NHU7
Medium,A0A0H3N8F5
Medium,A0A0H3NN34
Medium,A0A0H3NKM4
Medium,A0A0H3NMA9
Medium,A0A0H3NP54
Medium,A0A0H3NIH4
Medium,A0A0H3NDC9
Medium,A0A0H3NJ12
Medium,A0A0H3NC83
Medium,A0A0H3NZZ6
Medium,A0A0H3NFI9
Medium,A0A0H3NM01
Medium,A0A0H3NGX4
Medium,A0A0H3NCR6
Medium,A0A0H3NBX7
Medium,A0A0H3NQI3
Medium,A0A0H3NLK2
Medium,A0A0H3NLT8
Medium,A0A0H3NE20
Medium,A0A0H3NHF7
Medium,A0A0H3NAB4
Medium,A0A0H3NIV7
Medium,A0A0H3NGH4
Medium,A0A0H3NG92
Medium,A0A0H3NCA2
Medium,A0A0H3NXL9
Medium,A0A0H3NHN5
Medium,A0A0H3NCZ0
Medium,A0A0H3NCU3
Medium,A0A0H3NI62
Medium,A0A0H3NAZ2
Medium,A0A0H3NEH9
Medium,A0A0H3NGZ7
Medium,A0A0H3NH84
Medium,A0A0H3NM30
Medium,A0A0H3NE19
Medium,A0A0H3NMN8
Medium,A0A0H3N915
Medium,A0A0H3NI46
Medium,A0A0H3NIC1
Medium,A0A0H3P026
Medium,E1W822
Medium,A0A0H3NA04
Medium,A0A0H3P024
Medium,A0A0H3N7H8
Medium,A0A0H3NK54
Medium,A0A0H3NBR9
Medium,A0A0H3NKE6
Medium,A0A0H3NX86
Medium,A0A0H3NYA0
Medium,A0A0H3NGD1
Medium,A0A0H3NJ37
Medium,A0A0H3NEW3
Medium,A0A0H3NDK3
Medium,A0A0H3NFB9
Medium,A0A0H3N7J9
Medium,A0A0H3NH28
Medium,A0A0H3NII7
Medium,A0A0H3NEJ9
Medium,A0A0H3N8X1
Medium,A0A0H3NPA7
Medium,A0A0H3NCT6
Medium,A0A0H3NFB0
Medium,A0A0H3NNG9
Medium,A0A0H3NQ68
Medium,A0A0H3NAN1
Medium,A0A0H3NHL5
Medium,A0A0H3NYD6
Medium,A0A0H3NXJ8
Medium,A0A0H3P067
Medium,A0A0H3NTE6
Medium,A0A0H3NI55
Medium,A0A0H3NC09
Medium,A0A0H3NKG6
Medium,A0A0H3NEA1
Medium,A0A0H3NVJ1
Medium,A0A0H3NE26
Medium,A0A0H3NDY4
Medium,A0A0H3NHA9
Medium,A0A0H3NJ48
Medium,E1W8M5
Medium,A0A0H3NIU4
Medium,A0A0H3N7R6
Medium,A0A0G2QBP7
Medium,A0A0H3NIF3
Medium,A0A0H3N9S9
Medium,A0A0H3N7Q7
Medium,A0A0H3NMJ9
Medium,A0A0H3NLZ0
Medium,A0A0H3NEQ8
Medium,A0A0H3NJH2
Medium,A0A0H3NHU0
Medium,A0A0H3NA86
Medium,A0A0H3N9I2
Medium,A0A0H3NCH4
Low,A0A0H3NH92
Low,A0A0H3NJU5
Low,A0A0H3NDM9
Low,A0A0H3NJB7
Low,A0A0H3NCN0
Low,A0A0H3NI87
Low,A0A0H3NH22
Low,A0A0H3NVZ4
Low,A0A0H3NNM5
Low,A0A0H3NHW9
Low,A0A0H3NBE7
Low,A0A0H3NCI5
Low,A0A0H3NJI5
Low,A0A0H3NAU1
Low,A0A0H3NTV7
Low,A0A0H3NGL8
Low,A0A0H3NJX2
Low,A0A0H3NGE6
Low,A0A0H3NZY8
Low,A0A0H3N8S1
Low,A0A0H3NYB0
Low,A0A0H3NI44
Low,A0A0H3NHM5
Low,A0A0H3NJ71
Low,A0A0H3N900
Low,A0A0H3NG84
Low,A0A0H3NH26
Low,A0A0H3NE15
Low,A0A0H3NHD7
Low,A0A0H3NHM1
Low,A0A0H3NBR1
Low,A0A0H3N7S0
Low,A0A0H3NLK5
Low,A0A0H3NFF0
Low,A0A0H3ND84
Low,A0A0H3NJV8
Low,A0A0H3NC27
Low,A0A0H3NHB6
Low,A0A0H3NGH2
Low,A0A0H3NQA5
Low,A0A0H3NBT9
Low,A0A0H3NGY4
Low,A0A0H3NIB8
Low,A0A0H3NKS9
Low,A0A0H3N8C9
Low,A0A0H3NNP8
Low,A0A0H3NJV1
Low,A0A0H3NGK2
Low,A0A0H3NDM0
Low,A0A0H3NAT2
Low,A0A0H3NQY8
Low,A0A0H3NXV2
Low,A0A0H3NNA3
Low,A0A0H3N7N7
Low,A0A0H3N8X7
Low,A0A0H3NCV1
Low,A0A0H3NFC5
Low,A0A0H3NPV8
Low,A0A0H3NCN9
